time,sym,bid,ask
2016-04-10T21:00:17.014000,EURGBP,0.807280004,0.810280025
2016-04-10T21:00:24.609000,EURGBP,0.808570027,0.809400022
2016-04-10T21:00:45.613000,EURGBP,0.808189988,0.808640003
2016-04-10T21:00:57.206000,EURGBP,0.808260024,0.808719993
2016-04-10T21:01:16.786000,EURGBP,0.80825001,0.808719993
2016-04-10T21:01:34.606000,EURGBP,0.808200002,0.808679998
2016-04-10T21:01:35.417000,EURGBP,0.80825001,0.809069991
2016-04-10T21:01:56.786000,EURGBP,0.808229983,0.808700025
2016-04-10T21:02:16.412000,EURGBP,0.808229983,0.808700025
2016-04-10T21:02:16.517000,EURGBP,0.808229983,0.809050024
2016-04-10T21:02:28.791000,EURGBP,0.808220029,0.808659971
2016-04-10T21:02:56.785000,EURGBP,0.808200002,0.808700025
2016-04-10T21:03:16.787000,EURGBP,0.808170021,0.808700025
2016-04-10T21:03:16.912000,EURGBP,0.808170021,0.808669984
2016-04-10T21:03:17.015000,EURGBP,0.808269978,0.808990002
2016-04-10T21:03:59.793000,EURGBP,0.808200002,0.808669984
2016-04-10T21:04:02.610000,EURGBP,0.808200002,0.808669984
2016-04-10T21:04:02.610000,EURGBP,0.808200002,0.808669984
2016-04-10T21:04:24.628000,EURGBP,0.808290005,0.809220016
2016-04-10T21:04:58.644000,EURGBP,0.808290005,0.809109986
2016-04-10T21:05:00.093000,EURGBP,0.808290005,0.809109986
2016-04-10T21:05:01.751000,EURGBP,0.808290005,0.809109986
2016-04-10T21:05:20.414000,EURGBP,0.808030009,0.808650017
2016-04-10T21:05:57.760000,EURGBP,0.808220029,0.809019983
2016-04-10T21:06:00.757000,EURGBP,0.808220029,0.809019983
2016-04-10T21:06:09.108000,EURGBP,0.808279991,0.809180021
2016-04-10T21:06:58.746000,EURGBP,0.808040023,0.808669984
2016-04-10T21:07:04.446000,EURGBP,0.808040023,0.80862999
2016-04-10T21:07:10.445000,EURGBP,0.808040023,0.808570027
2016-04-10T21:07:35.436000,EURGBP,0.808030009,0.808910012
2016-04-10T21:08:00.610000,EURGBP,0.808030009,0.808870018
2016-04-10T21:08:11.271000,EURGBP,0.808030009,0.80892998
2016-04-10T21:08:25.703000,EURGBP,0.808030009,0.808719993
2016-04-10T21:09:00.043000,EURGBP,0.808030009,0.808719993
2016-04-10T21:09:00.044000,EURGBP,0.808030009,0.808719993
2016-04-10T21:09:16.605000,EURGBP,0.808030009,0.808650017
2016-04-10T21:09:36.787000,EURGBP,0.80805999,0.808650017
2016-04-10T21:10:14.715000,EURGBP,0.80805999,0.808650017
2016-04-10T21:10:57.025000,EURGBP,0.80805999,0.808650017
2016-04-10T21:11:01.158000,EURGBP,0.80805999,0.808650017
2016-04-10T21:11:50.180000,EURGBP,0.808070004,0.808369994
2016-04-10T21:11:58.803000,EURGBP,0.808070004,0.80874002
2016-04-10T21:11:58.811000,EURGBP,0.807889998,0.80874002
2016-04-10T21:12:02.704000,EURGBP,0.807889998,0.808529973
2016-04-10T21:12:19.249000,EURGBP,0.807690024,0.808529973
2016-04-10T21:12:44.357000,EURGBP,0.808030009,0.808640003
2016-04-10T21:12:56.786000,EURGBP,0.807869971,0.808650017
2016-04-10T21:13:03.832000,EURGBP,0.807869971,0.808650017
2016-04-10T21:13:16.786000,EURGBP,0.807869971,0.808650017
2016-04-10T21:13:54.479000,EURGBP,0.808089972,0.808659971
2016-04-10T21:14:11.554000,EURGBP,0.808089972,0.808700025
2016-04-10T21:14:17.654000,EURGBP,0.808089972,0.808700025
2016-04-10T21:14:57.211000,EURGBP,0.808000028,0.808510005
2016-04-10T21:15:03.296000,EURGBP,0.808049977,0.808560014
2016-04-10T21:15:23.928000,EURGBP,0.80805999,0.808570027
2016-04-10T21:15:56.784000,EURGBP,0.807990015,0.80844003
2016-04-10T21:16:05.203000,EURGBP,0.807990015,0.80844003
2016-04-10T21:16:07.902000,EURGBP,0.807990015,0.80844003
2016-04-10T21:16:28.489000,EURGBP,0.808109999,0.808449984
2016-04-10T21:16:59.936000,EURGBP,0.808070004,0.808459997
2016-04-10T21:17:01.828000,EURGBP,0.808099985,0.808459997
2016-04-10T21:17:02.835000,EURGBP,0.808099985,0.808459997
2016-04-10T21:17:33.669000,EURGBP,0.807139993,0.807879984
2016-04-10T21:17:59.512000,EURGBP,0.807479978,0.808229983
2016-04-10T21:18:00.004000,EURGBP,0.807479978,0.808229983
2016-04-10T21:18:02.378000,EURGBP,0.807420015,0.808070004
2016-04-10T21:18:20.323000,EURGBP,0.807550013,0.808229983
2016-04-10T21:18:56.786000,EURGBP,0.807590008,0.808109999
2016-04-10T21:19:01.759000,EURGBP,0.807590008,0.808109999
2016-04-10T21:19:15.216000,EURGBP,0.807590008,0.808109999
2016-04-10T21:19:41.112000,EURGBP,0.807579994,0.808089972
2016-04-10T21:20:12.234000,EURGBP,0.807590008,0.808089972
2016-04-10T21:20:49.415000,EURGBP,0.807590008,0.808089972
2016-04-10T21:21:12.303000,EURGBP,0.807590008,0.808089972
2016-04-10T21:21:15.303000,EURGBP,0.807590008,0.808089972
2016-04-10T21:21:55.114000,EURGBP,0.807770014,0.808220029
2016-04-10T21:21:59.639000,EURGBP,0.807739973,0.808149993
2016-04-10T21:22:08.822000,EURGBP,0.807739973,0.808229983
2016-04-10T21:22:13.144000,EURGBP,0.807619989,0.808170021
2016-04-10T21:22:59.459000,EURGBP,0.807730019,0.808279991
2016-04-10T21:23:00.235000,EURGBP,0.807699978,0.80825001
2016-04-10T21:23:12.996000,EURGBP,0.807730019,0.80825001
2016-04-10T21:23:58.927000,EURGBP,0.807730019,0.808160007
2016-04-10T21:24:00.204000,EURGBP,0.807789981,0.808220029
2016-04-10T21:24:00.277000,EURGBP,0.807739973,0.808220029
2016-04-10T21:24:11.344000,EURGBP,0.808089972,0.808489978
2016-04-10T21:24:57.945000,EURGBP,0.807879984,0.808329999
2016-04-10T21:25:01.491000,EURGBP,0.807850003,0.808329999
2016-04-10T21:25:35.532000,EURGBP,0.807850003,0.808329999
2016-04-10T21:25:52.333000,EURGBP,0.807850003,0.808340013
2016-04-10T21:26:03.589000,EURGBP,0.807850003,0.808340013
2016-04-10T21:26:43.348000,EURGBP,0.807749987,0.808239996
2016-04-10T21:26:48.809000,EURGBP,0.807900012,0.808300018
2016-04-10T21:26:56.785000,EURGBP,0.80783999,0.808300018
2016-04-10T21:27:01.104000,EURGBP,0.80783999,0.808300018
2016-04-10T21:27:50.105000,EURGBP,0.807850003,0.808340013
2016-04-10T21:27:58.033000,EURGBP,0.807829976,0.80825001
2016-04-10T21:28:02.800000,EURGBP,0.807829976,0.80825001
2016-04-10T21:28:03.504000,EURGBP,0.807829976,0.80825001
2016-04-10T21:28:10.339000,EURGBP,0.807900012,0.808300018
2016-04-10T21:28:56.784000,EURGBP,0.807860017,0.808290005
2016-04-10T21:29:01.895000,EURGBP,0.807860017,0.808290005
2016-04-10T21:29:01.895000,EURGBP,0.807860017,0.808290005
2016-04-10T21:29:39.694000,EURGBP,0.807869971,0.808329999
2016-04-10T21:29:57.699000,EURGBP,0.807869971,0.808300018
2016-04-10T21:30:00.115000,EURGBP,0.807869971,0.808300018
2016-04-10T21:30:56.786000,EURGBP,0.807879984,0.808300018
2016-04-10T21:30:58.199000,EURGBP,0.807869971,0.808300018
2016-04-10T21:31:04.193000,EURGBP,0.807869971,0.808300018
2016-04-10T21:31:10.194000,EURGBP,0.807869971,0.808300018
2016-04-10T21:31:52.304000,EURGBP,0.807900012,0.808300018
2016-04-10T21:32:04.632000,EURGBP,0.807879984,0.808300018
2016-04-10T21:32:52.494000,EURGBP,0.807869971,0.808300018
2016-04-10T21:32:58.331000,EURGBP,0.807879984,0.808300018
2016-04-10T21:33:16.358000,EURGBP,0.807879984,0.808300018
2016-04-10T21:33:25.332000,EURGBP,0.807879984,0.808300018
2016-04-10T21:33:25.333000,EURGBP,0.807889998,0.808300018
2016-04-10T21:34:02.657000,EURGBP,0.807889998,0.808300018
2016-04-10T21:34:02.657000,EURGBP,0.807889998,0.808300018
2016-04-10T21:34:48.649000,EURGBP,0.807889998,0.808340013
2016-04-10T21:35:12.140000,EURGBP,0.807879984,0.808340013
2016-04-10T21:35:12.140000,EURGBP,0.807879984,0.808340013
2016-04-10T21:35:38.533000,EURGBP,0.807829976,0.808279991
2016-04-10T21:35:57.565000,EURGBP,0.80783999,0.808279991
2016-04-10T21:36:00.564000,EURGBP,0.80783999,0.808279991
2016-04-10T21:36:04.003000,EURGBP,0.80783999,0.808279991
2016-04-10T21:36:59.233000,EURGBP,0.807990015,0.808350027
2016-04-10T21:37:04.238000,EURGBP,0.807990015,0.808350027
2016-04-10T21:37:14.556000,EURGBP,0.808000028,0.808350027
2016-04-10T21:37:58.242000,EURGBP,0.808000028,0.808309972
2016-04-10T21:38:00.123000,EURGBP,0.808000028,0.808309972
