time,sym,Side,Amount,ClientPrice
2016-04-10T22:05:31.630274,EURUSD,-1,5000,1.14025
2016-04-10T22:14:47.059968,EURUSD,-1,500000,1.14123
2016-04-10T22:16:11.629639,EURUSD,1,500000,1.14106
2016-04-10T22:17:25.939869,EURUSD,1,500000,1.14058
2016-04-10T22:19:41.080347,EURUSD,-1,500000,1.14075
2016-04-10T23:53:58.740353,EURUSD,-1,1000,1.14034
2016-04-10T23:54:11.669798,EURUSD,-1,1000,1.14034
2016-04-11T02:46:59.250266,EURUSD,1,1000,1.14239
2016-04-11T03:35:39.900806,EURUSD,-1,2000,1.1411
2016-04-11T04:30:21.200911,EURUSD,1,1000,1.14099
2016-04-11T04:30:21.520489,EURUSD,-1,1000,1.14094
2016-04-11T05:14:32.721098,EURUSD,1,10000,1.14165
2016-04-11T05:14:35.260682,EURUSD,1,5000,1.14165
2016-04-11T05:39:04.331317,GBPUSD,-1,2000,1.41413
2016-04-11T05:51:24.091930,EURUSD,-1,50000,1.14123
2016-04-11T06:15:48.961158,EURUSD,-1,1000,1.14109
2016-04-11T07:01:08.170545,GBPUSD,-1,2000,1.41219
2016-04-11T07:08:54.620584,EURUSD,1,1000,1.14099
2016-04-11T07:09:09.350150,EURUSD,-1,1000,1.14074
2016-04-11T07:09:40.300188,EURUSD,-1,1000,1.14059
2016-04-11T07:11:01.930205,EURUSD,1,1000,1.14084
2016-04-11T07:17:20.001859,GBPUSD,1,2000,1.41291
2016-04-11T07:19:42.660005,GBPUSD,-1,2000,1.41241
2016-04-11T07:21:45.549910,GBPUSD,1,2000,1.41227
2016-04-11T07:33:50.749610,GBPUSD,1,5000,1.41268
2016-04-11T07:35:12.610057,EURUSD,1,5000,1.14228
2016-04-11T08:01:02.279705,EURUSD,-1,1000,1.14085
2016-04-11T08:02:11.729946,EURUSD,1,1000,1.14107
2016-04-11T08:09:25.909752,EURUSD,1,1000,1.14072
2016-04-11T08:16:29.149792,EURUSD,1,1000,1.14059
2016-04-11T08:19:55.129887,EURUSD,-1,1000,1.14095
2016-04-11T08:20:04.174337,EURUSD,-1,1000,1.141
2016-04-11T08:23:33.690602,EURUSD,-1,1000,1.14075
2016-04-11T08:23:42.659921,EURUSD,1,1000,1.14082
2016-04-11T08:28:56.780810,EURUSD,1,5000,1.14068
2016-04-11T08:29:22.770263,EURUSD,1,5000,1.14065
2016-04-11T08:30:04.810099,EURUSD,1,1000,1.14078
2016-04-11T08:30:47.890384,EURUSD,1,5000,1.14047
2016-04-11T08:31:18.890999,EURUSD,1,5000,1.14046
2016-04-11T08:32:55.640796,EURUSD,-1,1000,1.14016
2016-04-11T08:38:37.340938,EURUSD,1,5000,1.14024
2016-04-11T08:42:22.510266,EURUSD,-1,20000,1.13983
2016-04-11T08:42:25.110593,EURUSD,-1,10000,1.13981
2016-04-11T08:48:51.330357,EURUSD,1,1000,1.1386
2016-04-11T08:49:03.750264,EURUSD,1,2000,1.13848
2016-04-11T08:56:45.130724,EURGBP,-1,23000,0.80598
2016-04-11T08:58:18.280179,EURUSD,1,2000,1.13739
2016-04-11T08:58:47.760121,EURGBP,1,23000,0.80531
2016-04-11T09:00:00.380567,EURGBP,1,2000,0.80452
2016-04-11T09:00:11.140149,EURUSD,1,20000,1.13795
2016-04-11T09:00:14.002019,EURUSD,1,20000,1.13792
2016-04-11T09:00:59.580217,EURGBP,1,1000,0.80358
2016-04-11T09:00:59.910174,EURGBP,-1,1000,0.80352
2016-04-11T09:01:58.319755,GBPUSD,-1,5000,1.41699
2016-04-11T09:02:50.210423,GBPUSD,1,12000,1.41858
2016-04-11T09:02:50.480120,GBPUSD,1,25000,1.41858
2016-04-11T09:03:12.580433,EURUSD,1,50000,1.1382
2016-04-11T09:04:14.790926,EURUSD,1,10000,1.13862
